Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
35,5,General Agriculture,Which of the following correctly matches the term with its literal meaning?,Legume – bean,Pulses – grain,Enzyme – living ferment,All of the above,None of these,D,"All three statements are accurate: Legume means bean, Pulses are protein‑rich edible grains, and Enzyme combines “EN” (in) with “ZYME” (ferment/living)."
36,6,General Agriculture,Which agricultural term is derived from Latin 'cella' meaning 'a small group acting as a unit within a larger organization'?,Cell,Society,Compost,Ecology,None of these,A,"The Latin word 'cella' gives rise to the term 'cell', defined as a small unit within a larger organization."
37,6,General Agriculture,"The seasonal cropping terms Rabi, Kharif and Zaid originate from which language?",Sanskrit,Arabic,Greek,French,None of these,B,"Rabi, Kharif and Zaid are Arabic words used to denote different cropping seasons."
38,6,General Agriculture,The word 'Plastid' comes from Greek 'plastikas'. What does this root signify?,Formed or moulded,Light,Heat,Growth,None of these,A,"Greek 'plastikas' means 'formed or moulded', which is the basis for the term plastid."
39,6,General Agriculture,"In the term 'Entomology', the Greek root 'entomon' refers to which of the following?",Soil,Insect,Plant,Weather,None of these,B,"'Entomon' is the Greek word for 'insect', forming part of 'entomology'."
40,6,General Agriculture,The suffix 'caedo' in the Latin-derived word 'fungicide' means what?,To protect,To kill,To grow,To decompose,None of these,B,"'Caedo' in Latin translates to 'to kill', giving 'fungicide' its meaning of a substance that kills fungi."
41,6,General Agriculture,The Greek word 'meteoros' in 'meteorology' denotes what concept?,Below the earth's surface,Above the earth's surface,Water cycle,Soil fertility,None of these,B,"'Meteoros' means 'above the earth's surface', which is the focus of meteorology."
42,6,General Agriculture,The term 'Manure' is traced to French 'manoeuvrer'. What is the literal meaning of this French root?,To fertilize,To work with soil,To compost,To harvest,None of these,B,"French 'manoeuvrer' means 'to work with soil', the origin of the word 'manure'."
43,7,General Agriculture,Which event marks the earliest use of fire by Homo erectus?,0.8 million years ago,0.5 million years ago,1 million years ago,1.5 million years ago,None of these,B,The source states that Homo erectus pekinensis learned use and control of fire 0.5 million years ago.
44,7,General Agriculture,In which year was the wheel invented according to the historical record?,3400 B.C.,2900 B.C.,3000 B.C.,2700 B.C.,None of these,A,The table lists 3400 B.C. as the year the wheel was invented.
45,7,General Agriculture,Which crop was first cultivated in 7500 B.C.?,Maize,Rice,Wheat and barley,Potato,None of these,C,The source records cultivation of wheat and barley in 7500 B.C.
46,7,General Agriculture,"According to the source, which animal was domesticated earliest?",Sheep,Dog,Goat,Cattle,None of these,B,"The first domesticated animal mentioned is the dog in 10,000 B.C."
47,7,General Agriculture,Which region is credited with using iron in 1400 B.C.?,India,Middle East,China,Egypt,None of these,B,The source notes the use of iron in the Middle East in 1400 B.C.
48,7,General Agriculture,The invention of the plough and the start of irrigated farming occurred in which year?,2900 B.C.,3000 B.C.,2700 B.C.,2500 B.C.,None of these,A,Both the plough invention and irrigated farming are listed for 2900 B.C.
49,7,General Agriculture,Which crop was cultivated in 1500 B.C. and accompanied by the start of irrigation through wells?,Sugarcane,Finger millet,Sorghum,Chickpea,None of these,A,The source states sugarcane cultivation and well irrigation began in 1500 B.C.
50,8,General Agriculture,Which of the following crops was NOT introduced to India by the Portuguese in the 16th century?,Potato,Cassava,Rice,Papaya,None of these,C,Rice was already cultivated in India long before the Portuguese arrived; all other listed crops were introduced by them in the 16th century.
51,8,General Agriculture,The grafting technique in horticulture was introduced to India by which group and in which year?,"British, 1805 AD","Portuguese, 1550 AD","Dutch, 1650 AD","French, 1700 AD",None of these,B,Historical records state that the Portuguese introduced grafting in Indian horticulture in 1550 AD.
52,8,General Agriculture,The Iris famine of 1845 was caused by which disease affecting which crop?,Rust of wheat,Late blight of potato,Downy mildew of grapes,Smut of millet,None of these,B,"The famine was triggered by the late blight disease that devastated potato crops, leading to severe food shortage."
53,8,General Agriculture,Which institution was established earliest?,"Forest Research Institute, Dehradun","Veterinary College, Lahore","Joint Department of Revenue, Agriculture and Commerce (DRAC)",India Meteorological Department (IMD),None of these,C,"DRAC was set up in 1871, earlier than the veterinary college (1882), IMD (1875), and FRI (1906)."
54,8,General Agriculture,The Persian wheel was used in which Indian location during 760‑800 AD?,"Pusa, Bihar",Araghatta,Jamuna region,Kanpur,None of these,B,Historical texts record the use of the Persian wheel at Araghatta in India between 760 and 800 AD.
55,8,General Agriculture,The agricultural text *KrishiSukti* was authored by which scholar?,Kashyapa,Varaha,Sushruta,Charaka,None of these,A,*KrishiSukti* was prepared by the scholar Kashyapa as a textbook on agriculture.
56,8,General Agriculture,Which event occurred between 1901 and 1905?,Publication of *Flora India*,Construction of the Western Jamuna Canal,Establishment of Agricultural Colleges at Pune and Kanpur,Severe famine in Bihar,None of these,C,Agricultural colleges were founded at Pune and Kanpur during the period 1901‑1905.
57,9,General Agriculture,Which year saw the appointment of the first Irrigation Commission in India?,1901,1903,1905,1919,None of these,A,The table lists 1901 as the year the First Irrigation Commission was appointed.
58,9,General Agriculture,The Imperial (now Indian) Agricultural Research Institute (IARI) was established at Pusa in which year?,1905,1903,1919,1921,None of these,A,"IARI at Pusa was established in 1905, as stated in the source."
59,9,General Agriculture,Which committee was constituted in 1921 that focused on cotton?,Indian Central Cotton Committee,Indian Central Jute Committee,Indian Central Lac Committee,Indian Central Sugarcane Committee,None of these,A,The source records the Indian Central Cotton Committee being constituted in 1921.
60,9,General Agriculture,The Great Bengal Famine of 1943 was caused by which pathogen?,Helminthosporium oryzae,Bacillus subtilis,Aspergillus flavus,Fusarium oxysporum,None of these,A,The table notes the famine was caused by Helminthosporium oryzae.
61,9,General Agriculture,In which year was the Indian Central Jute Committee established?,1931,1936,1940,1945,None of these,B,"The Indian Central Jute Committee was established in 1936, per the source."
62,9,General Agriculture,"The ""Grow more food"" campaign was first launched in which year?",1942,1947,1940,1945,None of these,A,The source indicates the campaign started in 1942 and was restarted in 1947.
63,9,General Agriculture,"The Directorate of plant protection, quarantine & storage (DPPQ&S) was established in which year?",1945,1946,1944,1943,None of these,B,The table lists the establishment of DPPQ&S in 1946.
64,10,General Agriculture,Which institution was established in 1946 for rice research?,"Central Rice Research Institute (CRRI), Cuttack",Indian Central Oil Seeds Committee,Arecanut Committee,National Seed Corporation (NSC),None of these,A,"The Central Rice Research Institute (CRRI) was established in 1946 in Cuttack, Orissa, as indicated in the table."
65,10,General Agriculture,Which project was initiated by Albert Mayer in 1948?,Firka Development of Madras State,Etawah Pilot Project,Community Development Programme (CDP),Intensive Agriculture District Programme (IADP),None of these,B,"The Etawah Pilot Project was initiated by Albert Mayer in 1948, as listed in the table."
66,10,General Agriculture,When was the Community Development Programme (CDP) started?,2nd Oct. 1952,2nd Oct. 1953,2nd Oct. 1959,1960,None of these,A,"The Community Development Programme (CDP) was started on 2nd Oct. 1952, as per the table."
67,10,General Agriculture,Which university was the first agricultural university in India?,IARI,G.B Pant University of Agriculture & Technology,Central Rice Research Institute,National Agricultural Cooperative Marketing Federation,None of these,B,"G.B Pant University of Agriculture & Technology at Pantnagar was the first agricultural university in India, established in 1960."
68,10,General Agriculture,What is the Intensive Agriculture District Programme (IADP) also known as?,Package Programme,Green Revolution,National Demonstration Programme,Farmers Training and Education Centre,None of these,A,"The Intensive Agriculture District Programme (IADP) is also known as the 'Package Programme', as mentioned in the table."
69,10,General Agriculture,Which project was initiated in 1965 by Shri S.K. Dey?,Intensive Cattle Development Project (ICDP),Nilokheri project (Mazdoor Manzil),National Demonstration Programme (NDP),High Yielding Varieties Programme,None of these,B,"The Nilokheri project (Mazdoor Manzil) was initiated in 1965 by Shri S.K. Dey, as indicated in the table."
70,10,General Agriculture,Which year is regarded as the Green Revolution year?,1965,1966-67,1967-68,1969,None of these,B,"The year 1966-67 is regarded as the Green Revolution year, as mentioned in the table."
71,11,General Agriculture,Which programme was launched in 1976 to provide training and management education in agriculture?,National Academy of Agricultural Research and Management,National Agricultural Research Project,National Rural Employment Programme,National Commission on Agriculture,None of these,A,NAARM was established in 1976 to offer education and training for agricultural research and management.
72,11,General Agriculture,Which programme was initiated in 1973 to promote wildlife conservation?,Project Tiger,Project Desert Development Programme,Lab to Land Programme,Integrated Rural Development Programme,None of these,A,Project Tiger was started in 1973 as a wildlife conservation initiative.
73,11,General Agriculture,Which programme started in 1974 to provide scientific support to farmers?,Krishi Vigyan Kendra,Command Area Development Authority,Minimum Needs Programme,Training & Visit system,None of these,A,Krishi Vigyan Kendra (KVK) was launched in 1974 to offer scientific assistance to farmers.
74,11,General Agriculture,Which programme was launched in 1978 and later known as the Poverty Eradication Programme?,Integrated Rural Development Programme,National Rural Employment Programme,National Commission on Agriculture,National Academy of Agricultural Research and Management,None of these,A,The Integrated Rural Development Programme (IRDP) began in 1978 and was later called the Poverty Eradication Programme.
75,11,General Agriculture,Which programme began in 1979 to bring research from laboratory to field?,Lab to Land Programme,Integrated Rural Development Programme,National Rural Employment Programme,National Commission on Agriculture,None of these,A,The Lab to Land Programme (LLP) was started in 1979 to transfer research outcomes to farmers.
76,11,General Agriculture,Which programme was established in 1971 to assist small farmers?,Small Farmers Development Agency,Marginal Farmers and Agricultural Labor Project,Minikit Programme,National Commission on Agriculture,None of these,A,The Small Farmers Development Agency (AFDA) was set up in 1971 to support small farmers.
77,11,General Agriculture,In which year was the Agricultural Scientists Recruitment Board established?,1973,1974,1975,1976,None of these,A,The Agricultural Scientists Recruitment Board (ASRB) was established on 1st November 1973.
78,12,General Agriculture,Which scheme launched in 1985 was later renamed as National Agricultural Insurance Scheme (NAIS)?,Crop Insurance Scheme (CIS),National Agricultural Insurance Scheme (NAIS),National Bank for Agriculture & Rural Development (NABARD),National Agricultural Research Project (Phase-II),None of these,A,The 1985 Crop Insurance Scheme was later renamed as NAIS.
79,12,General Agriculture,When was the National Bank for Agriculture & Rural Development (NABARD) established?,12th July 1982,1983,1985,1986,None of these,A,NABARD was established on 12th July 1982.
80,12,General Agriculture,Which scheme launched in 1998 was funded by the World Bank?,Kisan Credit Card Scheme,ICAR’s National Agricultural Technology Project (NATP),National Food for Work Programme (NFWP),National Agricultural Research Project (Phase-II),None of these,B,NATP was launched in 1998 with World Bank funding.
81,12,General Agriculture,Which scheme was renamed as National Rural Livelihood Mission (NRLM) in 2011?,Jawahar Gram Samridhi Yojna (JGSY),SwaranaJayanti Gram Swarozgar Yojana (SGSY),Integrated Watershed Development Programme,National Food for Work Programme,None of these,B,SGSY was renamed NRLM in 2011.
82,12,General Agriculture,Which scheme launched in 2004 was later merged into National Mission on Oilseeds and Oil Palm (NMOOP) in 2014-15?,National Food for Work Programme (NFWP),"Integrated Scheme of Oilseeds, Pulses, Oil palm and Maize (ISOPOM)",National Agricultural Science Complex (NASC),National Watershed Development Programme for Rainfed Areas,None of these,B,ISOPOM launched in 2004 merged into NMOOP in 2014-15.
83,12,General Agriculture,Which of the following was established in 1996?,National Gene Bank at New Delhi,National Agricultural Research Project (Phase-II),National Bank for Agriculture & Rural Development (NABARD),National Watershed Development Programme for Rainfed Areas,None of these,A,The National Gene Bank was established in 1996.
84,12,General Agriculture,Which scheme launched in 1986 focused on oilseeds?,Technology Mission on Oilseeds (TMO),National Agricultural Research Project (Phase-II),National Watershed Development Programme for Rainfed Areas,Integrated Watershed Development Programme,None of these,A,"TMO, launched in 1986, focused on oilseeds."
85,13,General Agriculture,Which policy was initiated in the year 2004?,Marine Fishing Policy,National Horticulture Mission,National Bamboo Mission,National Food Security Mission,None of these,A,The Marine Fishing Policy was initiated in the year 2004 as per the given data.
86,13,General Agriculture,Who was the first Director General of ICAR?,Dr. B.P. Pal,Jogendra Singh,Lord Linlithgow,Professor M.S. Swaminathan,None of these,A,Dr. B.P. Pal was the first Director General of ICAR and he initiated All India Co-ordinate Research Projects (AICRPs).
87,13,General Agriculture,When was the National Horticulture Mission started?,"May, 2005","August, 2007","April, 2014",2006-07,None of these,A,"The National Horticulture Mission was started in May, 2005."
88,13,General Agriculture,Which mission was started in August 2007?,National Food Security Mission,National Bamboo Mission,National Rainfed Area Authority,National Agricultural Innovation Project,None of these,A,"The National Food Security Mission was started in August, 2007."
89,13,General Agriculture,What was the main objective of Bharat Nirman?,Creating and augmenting basic rural infrastructure,Promoting agricultural research,Enhancing marine fishing,Developing horticulture,None of these,A,"Bharat Nirman is an Indian business plan for creating and augmenting basic rural infrastructure including irrigation, roads, housing, water supply, and electricity supply."
90,13,General Agriculture,When was ICAR established?,"16th July, 1929",1926,"March, 1946",1965,None of these,A,"ICAR was set up on 16th July, 1929, as a registered society under the Societies Registration Act 1860."
91,13,General Agriculture,"Which committee was constituted in June, 1972 to review ICAR?",Gajendra Gadkar Committee,Agricultural Review Team,National Commission on Farmers,Royal Commission on Agriculture,None of these,A,"The Gajendra Gadkar Committee was constituted in June, 1972 to review ICAR."
92,14,General Agriculture,"Which institute is located in Bhopal, Madhya Pradesh?",Indian Institute of Soil Science,Indian Institute of Sugarcane Research,Indian Lac Research Institute,Indian Institute of Vegetable Research,None of these,A,"The Indian Institute of Soil Science (IISS) is located in Bhopal, Madhya Pradesh."
93,14,General Agriculture,The Central Institute for Research on Goats is located in which city?,Mathura,Avikanagar,Bangalore,Hyderabad,None of these,A,"The Central Institute for Research on Goats (CIRG) is located in Mathura, Uttar Pradesh."
94,14,General Agriculture,Which institute is associated with fisheries technology and located in Cochin?,Central Inland Fisheries Research Institute,Central Institute of Fisheries Technology,National Fisheries Development Board,National Bureau of Fish Genetic Resources,None of these,B,"The Central Institute of Fisheries Technology (CIFT) is located in Cochin, Kerala."
95,14,General Agriculture,The National Bureau of Plant Genetic Resources is located in which city?,Nagpur,Karnal,New Delhi,Lucknow,None of these,C,The National Bureau of Plant Genetic Resources (NBPGR) is located in New Delhi.
96,14,General Agriculture,"Which institute is located in Hyderabad, Andhra Pradesh?",National Fisheries Development Board,Central Sheep and Wool Research Institute,National Institute of Animal Nutrition and Physiology,Central Avian Research Institute,None of these,A,"The National Fisheries Development Board (NFDB) is located in Hyderabad, Andhra Pradesh."
97,14,General Agriculture,The Indian Institute of Vegetable Research is located in which city?,Varanasi,Bhopal,Lucknow,Calcutta,None of these,A,"The Indian Institute of Vegetable Research (IIVR) is located in Varanasi, Uttar Pradesh."
98,14,General Agriculture,Which institute is associated with animal nutrition and physiology and located in Bangalore?,National Institute of Animal Nutrition and Physiology,Central Institute for Research on Goats,Central Sheep and Wool Research Institute,Central Avian Research Institute,None of these,A,"The National Institute of Animal Nutrition and Physiology (NIANP) is located in Bangalore, Karnataka."
99,17,General Agriculture,Which international institute was established first among those listed?,IRRI,CIMMYT,ICARDA,ICRISAT,None of these,A,"IRRI was founded in 1960, earlier than CIMMYT (1966), ICARDA (1977) and ICRISAT (1972)."
100,17,General Agriculture,Which acronym stands for International Center for Agricultural Research in Dry land Area?,ICARDA,ICRISAT,ICGEB,IITA,None of these,A,ICARDA’s full name is International Center for Agricultural Research in Dry land Area.
101,17,General Agriculture,"Which institute is located in Hyderabad, India?",ICRISAT,ICGEB,NAARM,IITA,None of these,A,"ICRISAT’s headquarters are in Hyderabad, India."
102,17,General Agriculture,Which institute focuses on animal diseases?,ILRAD,ICGEB,IBPGR,AVRDC,None of these,A,ILRAD stands for International Laboratory for Research on Animal Diseases.
103,17,General Agriculture,Which institute was founded in 1974?,IBPGR,IIMI,IITA,CIAT,None of these,A,IBPGR was established in 1974.
104,17,General Agriculture,Which of the following is not an international institute but a national research center?,NAARM,FRI,NRC-WS,ICRISAT,None of these,A,"NAARM is a national academy, whereas the others are international institutes."
105,17,General Agriculture,Which institute's acronym is associated with the Asian Vegetable Research and Development Center?,AVRDC,IITA,CIAT,ICGEB,None of these,A,AVRDC stands for Asian Vegetable Research and Development Center.
106,18,General Agriculture,Which organization was originally known as the Project Directorate of Rice Research and is now located in Hyderabad?,IIRR,IIWBR,IIMR,PDWMR,None of these,A,The correct answer is IIRR because the Project Directorate of Rice Research (PDRR) was renamed as the Indian Institute of Rice Research (IIRR) and is located in Hyderabad.
107,18,General Agriculture,The National Biodiversity Authority is located in which city?,Chennai,New Delhi,Mumbai,Kolkata,None of these,A,The correct answer is Chennai because the National Biodiversity Authority (NBA) is headquartered in Chennai.
108,18,General Agriculture,Which organization replaced the General Agreement on Tariffs and Trade (GATT) in 1995?,WTO,WMO,NABARD,APEDA,None of these,A,The correct answer is WTO because the General Agreement on Tariffs and Trade (GATT) was replaced by the World Trade Organization (WTO) in January 1995.
109,18,General Agriculture,Where is the headquarters of the World Meteorological Organization (WMO) located?,Geneva,New York,Paris,London,None of these,A,"The correct answer is Geneva because the World Meteorological Organization (WMO) is headquartered in Geneva, Switzerland."
110,18,General Agriculture,Which institute was formerly known as the National Research Center for Rapeseed & Mustard?,DRMR,DFR,DIPA,NASM,None of these,A,The correct answer is DRMR because the Directorate of Rapeseed & Mustard Research (DRMR) was formerly known as the National Research Center for Rapeseed & Mustard.
111,18,General Agriculture,When was the National Agricultural Science Museum established?,2004,2002,2009,1958,None of these,A,The correct answer is 2004 because the National Agricultural Science Museum (NASM) was established in 2004.
112,18,General Agriculture,Which organization is responsible for the development and promotion of export of agricultural and processed food products?,APEDA,NAFED,NABARD,CACP,None of these,A,The correct answer is APEDA because the Agricultural and Processed Food Product Export Development Authority (APEDA) is responsible for the development and promotion of the export of agricultural and processed food products.
113,19,General Agriculture,Which institute is responsible for ensuring the quality control of fertilizers in India?,Central Fertilizer Quality Control & Training Institute,National Plant Protection Training Institute,Directorate of Marketing and Inspection,Indian Council of Agricultural Research,None of these,A,The Central Fertilizer Quality Control & Training Institute (CFQCTI) is specifically mentioned as the institute responsible for fertilizer quality control.
114,19,General Agriculture,Which award is given to woman agricultural scientists?,Hari Om Ashram Trust award,Punjabrao Deshmukh Women Award,Jawaharlal Nehru award,Jagjivan Ram Kishan award,None of these,B,The Punjabrao Deshmukh Women Award is specifically mentioned as the award for woman agricultural scientists.
115,19,General Agriculture,Which publication is associated with the Ministry of Rural Development?,Current Science,Science Reporter,Kurukestra,Agricultural Today,None of these,C,Kurukestra is mentioned as the publication associated with the Ministry of Rural Development.
116,19,General Agriculture,Who is known as the Father of the Green Revolution in India?,Dr. Norman Borlaug,Dr. M. S. Swaminathan,Dr. Vergese Kurien,Dr. A. P. J. Abdul Kalam,None of these,B,Dr. M. S. Swaminathan is explicitly mentioned as the Father of the Green Revolution in India.
117,19,General Agriculture,Which award is given for the best work in Ph.D. in the field of Agriculture & Allied Sciences?,Hari Om Ashram Trust award,Punjabrao Deshmukh Women Award,Jawaharlal Nehru award,Jagjivan Ram Kishan award,None of these,C,The Jawaharlal Nehru award is specifically mentioned for the best work in Ph.D. in the field of Agriculture & Allied Sciences.
118,19,General Agriculture,Where is the National Plant Protection Training Institute located?,Faridabad,Hyderabad,New Delhi,Bangalore,None of these,B,The National Plant Protection Training Institute (NPPTI) is located in Hyderabad.
119,19,General Agriculture,Which award was given to Dr. M. S. Swaminathan by the FAO in 1987?,Millennium Prize,World Food Prize,World Agriculture Prize,Green Revolution Award,None of these,B,"Dr. M. S. Swaminathan received the World Food Prize in 1987, as mentioned in the source."
120,20,General Agriculture,Who is known as the Father of the 'Green Revolution' in the world?,Dr. N. E. Borlaug,Vergese Kurien,Dr. K. L. Chadda,Dr. R. S. Paroda,None of these,A,Dr. N. E. Borlaug is known as the Father of the 'Green Revolution' in the world due to his significant contributions to increasing agricultural production through the development of high-yielding varieties of wheat.
121,20,General Agriculture,Which scientist is associated with the 'White Revolution' in India?,Dr. N. E. Borlaug,Vergese Kurien,Dr. K. L. Chadda,Amrita Patel,None of these,B,Vergese Kurien is known as the Father of the 'White Revolution' in India for his pivotal role in the development of the dairy industry through the 'Operation Flood' program.
122,20,General Agriculture,Who was awarded the Nobel Peace Prize in 1970 for contributions to agriculture?,Dr. N. E. Borlaug,Vergese Kurien,Dr. G. S. Khush,Sanjay Rajaram,None of these,A,"Dr. N. E. Borlaug was awarded the Nobel Peace Prize in 1970 for his contributions to the 'Green Revolution,' which significantly increased global agricultural production."
123,20,General Agriculture,Which scientist is known as the Father of the 'Golden Revolution' in India?,Dr. N. E. Borlaug,Vergese Kurien,Dr. K. L. Chadda,Dr. R. S. Paroda,None of these,C,"Dr. K. L. Chadda is known as the Father of the 'Golden Revolution' in India for his contributions to the field of pomology, which involves the cultivation of fruit."
124,20,General Agriculture,What is the primary function of the Cry-1Ac gene in Bt. Cotton?,Increases cotton yield,Produces proteins lethal to insect larvae,Enhances water absorption,Improves soil fertility,None of these,B,"The Cry-1Ac gene in Bt. Cotton produces proteins that are lethal to insect larvae, specifically targeting the digestive system of bollworms."
125,20,General Agriculture,Which award did Dr. G. S. Khush receive for his contributions to rice breeding?,Nobel Peace Prize,World Food Prize,Wolf Prize,Magsaysay Award,None of these,C,"Dr. G. S. Khush was awarded the Wolf Prize for his extraordinary contributions to plant breeding and genetics, particularly in rice."
126,20,General Agriculture,Who was awarded the 'World Food Prize' in 2000 for research on QPM maize?,Dr. N. E. Borlaug,Vergese Kurien,S. K. Vasal,Dr. G. S. Khush,None of these,C,"S. K. Vasal was awarded the World Food Prize in 2000 for his research on Quality Protein Maize (QPM), which is rich in essential amino acids like tryptophan and lysine."
